timestamp,dsapi-thick-gusty-rest-Newcastle.NewcastleEnergyCentreB001.E1_01_MS1.VoltageAN
2022-12-07T17:33:15.427Z,234
2022-12-07T17:38:15.208Z,234
2022-12-07T17:43:15.285Z,234
2022-12-07T17:48:15.394Z,233
2022-12-07T17:53:15.292Z,234
2022-12-07T17:58:15.307Z,234
2022-12-07T18:03:45.241Z,233
2022-12-07T18:08:15.298Z,233
2022-12-07T18:13:15.325Z,234
2022-12-07T18:18:15.313Z,233
2022-12-07T18:23:15.309Z,233
2022-12-07T18:28:15.320Z,235
2022-12-07T18:33:15.288Z,235
2022-12-07T18:38:15.298Z,235
2022-12-07T18:43:15.498Z,234
2022-12-07T18:48:15.354Z,235
2022-12-07T18:53:15.679Z,235
2022-12-07T18:58:15.274Z,236
2022-12-07T19:03:15.370Z,235
2022-12-07T19:08:15.640Z,235
2022-12-07T19:13:15.264Z,235
2022-12-07T19:18:15.447Z,235
2022-12-07T19:23:15.533Z,235
2022-12-07T19:28:15.295Z,236
2022-12-07T19:33:15.320Z,236
2022-12-07T19:38:15.409Z,235
2022-12-07T19:43:15.233Z,235
2022-12-07T19:48:15.788Z,236
2022-12-07T19:53:15.317Z,236
2022-12-07T19:58:15.315Z,236
2022-12-07T20:03:15.220Z,236
2022-12-07T20:08:15.146Z,235
2022-12-07T20:13:15.396Z,235
2022-12-07T20:18:15.352Z,236
2022-12-07T20:23:15.230Z,236
2022-12-07T20:28:15.314Z,236
2022-12-07T20:33:15.273Z,235
2022-12-07T20:38:15.231Z,235
2022-12-07T20:43:15.485Z,235
2022-12-07T20:48:15.255Z,235
2022-12-07T20:53:15.198Z,235
2022-12-07T20:58:15.413Z,234
2022-12-07T21:03:15.347Z,236
2022-12-07T21:08:15.217Z,236
2022-12-07T21:13:15.266Z,234
2022-12-07T21:18:15.304Z,234
2022-12-07T21:23:15.314Z,234
2022-12-07T21:28:15.305Z,234
2022-12-07T21:33:15.288Z,234
2022-12-07T21:38:15.270Z,234
2022-12-07T21:43:15.297Z,234
2022-12-07T21:48:15.408Z,235
2022-12-07T21:53:15.227Z,235
2022-12-07T21:58:15.112Z,234
2022-12-07T22:03:15.267Z,235
2022-12-07T22:08:15.440Z,234
2022-12-07T22:13:15.459Z,234
2022-12-07T22:18:15.163Z,234
2022-12-07T22:23:15.243Z,233
2022-12-07T22:28:15.178Z,233
2022-12-07T22:33:15.443Z,233
2022-12-07T22:38:15.255Z,233
2022-12-07T22:43:15.240Z,233
2022-12-07T22:48:15.253Z,235
2022-12-07T22:53:15.296Z,235
2022-12-07T22:58:15.213Z,236
2022-12-07T23:03:14.921Z,236
2022-12-07T23:08:15.385Z,236
2022-12-07T23:13:15.198Z,236
2022-12-07T23:18:15.326Z,235
2022-12-07T23:23:15.255Z,236
2022-12-07T23:28:15.161Z,236
2022-12-07T23:33:15.166Z,235
2022-12-07T23:38:15.331Z,236
2022-12-07T23:43:15.249Z,235
2022-12-07T23:48:15.302Z,235
2022-12-07T23:53:15.296Z,235
2022-12-07T23:58:15.463Z,236
2022-12-08T00:03:15.313Z,236
2022-12-08T00:07:20.331Z,235
2022-12-08T00:08:15.302Z,235
2022-12-08T00:13:15.360Z,234
2022-12-08T00:18:15.252Z,235
2022-12-08T00:23:15.229Z,236
2022-12-08T00:28:15.196Z,235
2022-12-08T00:33:15.383Z,235
2022-12-08T00:38:15.250Z,235
2022-12-08T00:43:15.423Z,235
2022-12-08T00:48:15.271Z,235
2022-12-08T00:53:15.269Z,234
2022-12-08T00:58:16.100Z,234
2022-12-08T01:03:15.234Z,235
2022-12-08T01:08:15.311Z,235
2022-12-08T01:13:15.235Z,235
2022-12-08T01:18:15.433Z,236
2022-12-08T01:23:15.257Z,236
2022-12-08T01:28:15.294Z,236
2022-12-08T01:33:15.428Z,236
2022-12-08T01:38:15.169Z,236
2022-12-08T01:43:15.341Z,236
2022-12-08T01:48:15.464Z,236
2022-12-08T01:53:15.228Z,237
